sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.1,1,trig,0.2,data/Exp1/trig/scatter/S0.1m0.2.png,,2,0.3,-0.1,0.1,5
0.15,-1,quad,0.2,data/Exp1/quad/scatter/S0.15m-0.2.png,,2,-0.12,-0.08,0.08,6
0.15,1,trig,0.2,data/Exp1/trig/scatter/S0.15m0.2.png,,2,0.21,-0.01,0.01,8
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,2,0.25,-0.05,0.05,9
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,2,0.79,0.01,0.01,10
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,2,-0.24,0.04,0.04,11
0.15,-1,trig,0.2,data/Exp1/trig/scatter/S0.15m-0.2.png,,2,-0.24,0.04,0.04,12
0.05,1,trig,0.2,data/Exp1/trig/scatter/S0.05m0.2.png,,2,0.21,-0.01,0.01,13
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,2,-0.22,0.02,0.02,14
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,2,0.26,-0.06,0.06,15
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,2,0.24,-0.14,0.14,17
0.1,-1,line,0.2,data/Exp1/line/scatter/S0.1m-0.2.png,,2,-0.28,0.08,0.08,18
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,2,-0.42,0.02,0.02,19
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,2,0.72,0.08,0.08,20
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,2,0,0.1,0.1,22
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,2,0.46,-0.06,0.06,25
0.05,1,line,0.2,data/Exp1/line/scatter/S0.05m0.2.png,,2,0.16,0.04,0.04,21
0.1,-1,quad,0.4,data/Exp1/quad/scatter/S0.1m-0.4.png,,2,-0.37,-0.03,0.03,23
0.2,1,quad,0.1,data/Exp1/quad/scatter/S0.2m0.1.png,,2,0,0.1,0.1,26
0.15,-1,trig,0.4,data/Exp1/trig/scatter/S0.15m-0.4.png,,2,-0.35,-0.05,0.05,27
0.05,1,quad,0.2,data/Exp1/quad/scatter/S0.05m0.2.png,,2,0.18,0.02,0.02,28
0.1,-1,trig,0.8,data/Exp1/trig/scatter/S0.1m-0.8.png,,2,-0.77,-0.03,0.03,29
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,2,0.01,0.09,0.09,31
0.15,-1,line,0.2,data/Exp1/line/scatter/S0.15m-0.2.png,,2,-0.16,-0.04,0.04,32
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,2,-0.13,0.03,0.03,33
0.2,1,trig,0.8,data/Exp1/trig/scatter/S0.2m0.8.png,,2,0.83,-0.03,0.03,34
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,2,-0.79,-0.01,0.01,35
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,2,-0.15,0.05,0.05,36
0.05,-1,line,0.1,data/Exp1/line/scatter/S0.05m-0.1.png,,2,-0.08,-0.02,0.02,37
0.1,1,line,0.8,data/Exp1/line/scatter/S0.1m0.8.png,,2,0.79,0.01,0.01,38
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,2,-0.45,0.05,0.05,40
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,2,0.21,-0.01,0.01,39
0.2,-1,line,0.4,data/Exp1/line/scatter/S0.2m-0.4.png,,2,-0.39,-0.01,0.01,41
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,2,0.43,-0.03,0.03,42
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,2,-0.09,-0.01,0.01,43
0.05,1,trig,0.4,data/Exp1/trig/scatter/S0.05m0.4.png,,2,0.42,-0.02,0.02,44
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,2,-0.09,-0.01,0.01,45
